date,Motel6,Jetblue,Jetblue_pred,Motel6_pred
2020-10-04 00:00:00+00:00,34702.2007,60531.90291,,
2020-10-05 00:00:00+00:00,34973.03415,60336.6442,,
2020-10-06 00:00:00+00:00,35283.05038,60126.04274,,
2020-10-07 00:00:00+00:00,35640.45026,59909.66377,,
2020-10-08 00:00:00+00:00,35908.12329,59687.0072,,
2020-10-09 00:00:00+00:00,36067.21263,59452.51111,,
2020-10-10 00:00:00+00:00,36164.53628,59195.58868,,
2020-10-11 00:00:00+00:00,36112.81752,58905.46518,,
2020-10-12 00:00:00+00:00,35870.85858,58585.66268,,
2020-10-13 00:00:00+00:00,35555.25958,58249.3618,,
2020-10-14 00:00:00+00:00,35303.42377,57904.06923,,
2020-10-15 00:00:00+00:00,35115.6363,57553.25809,,
2020-10-16 00:00:00+00:00,34971.07988,57199.00451,,
2020-10-17 00:00:00+00:00,34963.51665,56838.27939,,
2020-10-18 00:00:00+00:00,35086.62392,56468.63809,,
2020-10-19 00:00:00+00:00,35253.63557,56097.13367,,
2020-10-20 00:00:00+00:00,35440.73109,55739.43395,,
2020-10-21 00:00:00+00:00,35566.96477,55408.06409,,
2020-10-22 00:00:00+00:00,35541.02889,55100.20028,,
2020-10-23 00:00:00+00:00,35395.33896,54803.23168,,
2020-10-24 00:00:00+00:00,35248.31847,54507.99095,,
2020-10-25 00:00:00+00:00,35229.44565,54214.20665,,
2020-10-26 00:00:00+00:00,35346.11558,53929.90597,,
2020-10-27 00:00:00+00:00,35465.65995,53662.29105,,
2020-10-28 00:00:00+00:00,35539.32399,53412.31615,,
2020-10-29 00:00:00+00:00,35619.42016,53179.19264,,
2020-10-30 00:00:00+00:00,35709.49233,52960.69902,,
2020-10-31 00:00:00+00:00,35817.25856,52751.55081,,
2020-11-01 00:00:00+00:00,35889.28599,52549.64559,,
2020-11-02 00:00:00+00:00,35819.2314,52362.22158,,
2020-11-03 00:00:00+00:00,35641.63113,52197.35105,,
2020-11-04 00:00:00+00:00,35484.65279,52053.82784,,
2020-11-05 00:00:00+00:00,35429.01825,51927.74133,,
2020-11-06 00:00:00+00:00,35462.4732,51817.08736,,
2020-11-07 00:00:00+00:00,35482.51965,51717.03409,,
2020-11-08 00:00:00+00:00,35447.54932,51623.2326,,
2020-11-09 00:00:00+00:00,35440.44229,51539.34864,,
2020-11-10 00:00:00+00:00,35485.18704,51473.44675,,
2020-11-11 00:00:00+00:00,35559.01956,51428.77449,,
2020-11-12 00:00:00+00:00,35643.72489,51402.5184,,
2020-11-13 00:00:00+00:00,35689.75158,51389.21505,,
2020-11-14 00:00:00+00:00,35725.6222,51383.27289,,
2020-11-15 00:00:00+00:00,35779.20047,51382.00958,,
2020-11-16 00:00:00+00:00,35805.36764,51387.62023,,
2020-11-17 00:00:00+00:00,35857.41644,51405.1436,,
2020-11-18 00:00:00+00:00,36013.33729,51436.60779,,
2020-11-19 00:00:00+00:00,36201.12101,51479.55962,,
2020-11-20 00:00:00+00:00,36312.80237,51529.38507,,
2020-11-21 00:00:00+00:00,36366.71475,51579.58307,,
2020-11-22 00:00:00+00:00,36420.33047,51625.97587,,
2020-11-23 00:00:00+00:00,36523.43929,51671.73123,,
2020-11-24 00:00:00+00:00,36665.05382,51720.51733,,
2020-11-25 00:00:00+00:00,36745.59346,51769.09978,,
2020-11-26 00:00:00+00:00,36774.60758,51810.79567,,
2020-11-27 00:00:00+00:00,36745.68782,51843.08538,,
2020-11-28 00:00:00+00:00,36567.63389,51869.47126,,
2020-11-29 00:00:00+00:00,36232.69751,51892.37016,,
2020-11-30 00:00:00+00:00,35829.66377,51919.16412,,
2020-12-01 00:00:00+00:00,35426.30278,51962.16007,,
2020-12-02 00:00:00+00:00,35027.23949,52020.18123,,
2020-12-03 00:00:00+00:00,34690.69965,52082.44006,,
2020-12-04 00:00:00+00:00,34454.20187,52142.20111,,
2020-12-05 00:00:00+00:00,34301.6971,52195.64802,,
2020-12-06 00:00:00+00:00,34185.37641,52240.71125,,
2020-12-07 00:00:00+00:00,34103.80679,52280.20804,,
2020-12-08 00:00:00+00:00,34056.60867,52319.56338,,
2020-12-09 00:00:00+00:00,33948.73285,52360.44967,,
2020-12-10 00:00:00+00:00,33716.35664,52399.87033,,
2020-12-11 00:00:00+00:00,33360.2438,52434.65992,,
2020-12-12 00:00:00+00:00,32933.36965,52462.75789,,
2020-12-13 00:00:00+00:00,32439.27865,52482.886,,
2020-12-14 00:00:00+00:00,31912.83666,52499.19303,,
2020-12-15 00:00:00+00:00,31449.85004,52519.81465,,
2020-12-16 00:00:00+00:00,31054.88426,52548.3737,,
2020-12-17 00:00:00+00:00,30664.44577,52584.81455,,
2020-12-18 00:00:00+00:00,30256.93751,52626.79657,,
2020-12-19 00:00:00+00:00,29876.77184,52667.58269,,
2020-12-20 00:00:00+00:00,29508.00406,52702.55918,,
2020-12-21 00:00:00+00:00,29186.04762,52733.07737,,
2020-12-22 00:00:00+00:00,29023.26157,52761.19234,,
2020-12-23 00:00:00+00:00,28970.53135,52786.08177,,
2020-12-24 00:00:00+00:00,28866.95557,52804.44709,,
2020-12-25 00:00:00+00:00,28709.39491,52813.18162,,
2020-12-26 00:00:00+00:00,28637.87269,52813.91855,,
2020-12-27 00:00:00+00:00,28680.2799,52811.61205,,
2020-12-28 00:00:00+00:00,28735.14039,52811.80415,,
2020-12-29 00:00:00+00:00,28771.17083,52819.91695,,
2020-12-30 00:00:00+00:00,28857.80525,52836.00382,,
2020-12-31 00:00:00+00:00,28995.65402,52854.84193,,
2021-01-01 00:00:00+00:00,29089.86568,52871.53375,,
2021-01-02 00:00:00+00:00,29145.87191,52885.6656,,
2021-01-03 00:00:00+00:00,29302.04735,52900.16833,,
2021-01-04 00:00:00+00:00,29535.65974,52919.04816,,
2021-01-05 00:00:00+00:00,29751.97436,52947.76406,,
2021-01-06 00:00:00+00:00,30040.44485,52987.26118,,
2021-01-07 00:00:00+00:00,30375.30802,53032.42898,,
2021-01-08 00:00:00+00:00,30587.49231,53079.22817,,
2021-01-09 00:00:00+00:00,30634.20084,53124.86792,,
2021-01-10 00:00:00+00:00,30513.15104,53167.81038,,
2021-01-11 00:00:00+00:00,30246.98898,53212.76112,,
2021-01-12 00:00:00+00:00,29879.74496,53266.28236,,
2021-01-13 00:00:00+00:00,29485.21496,53329.11736,,
2021-01-14 00:00:00+00:00,29188.47224,53397.01034,,
2021-01-15 00:00:00+00:00,29031.00861,53464.28766,,
2021-01-16 00:00:00+00:00,28972.23551,53526.61404,,
2021-01-17 00:00:00+00:00,28980.93257,53581.59082,,
2021-01-18 00:00:00+00:00,29020.27347,53629.95856,,
2021-01-19 00:00:00+00:00,29022.99222,53676.06948,,
2021-01-20 00:00:00+00:00,29027.18526,53723.11998,,
2021-01-21 00:00:00+00:00,29077.11633,53801.82917,,
2021-01-22 00:00:00+00:00,29141.82753,53977.45747,,
2021-01-23 00:00:00+00:00,29276.46848,54276.36863,,
2021-01-24 00:00:00+00:00,29515.52386,54678.07164,,
2021-01-25 00:00:00+00:00,29839.07769,55181.16032,,
2021-01-26 00:00:00+00:00,30269.24529,55806.44284,,
2021-01-27 00:00:00+00:00,30782.74655,56554.20182,,
2021-01-28 00:00:00+00:00,31326.48372,57397.49895,,
2021-01-29 00:00:00+00:00,31872.55434,58305.36924,,
2021-01-30 00:00:00+00:00,32369.588,59246.17786,,
2021-01-31 00:00:00+00:00,32811.77143,60197.83383,,
2021-02-01 00:00:00+00:00,33262.96908,61174.14396,,
2021-02-02 00:00:00+00:00,33749.90037,62198.31397,,
2021-02-03 00:00:00+00:00,34248.87859,63261.1537,,
2021-02-04 00:00:00+00:00,34726.54452,64337.99739,,
2021-02-05 00:00:00+00:00,35150.78521,65406.46395,,
2021-02-06 00:00:00+00:00,35516.89488,66437.34678,,
2021-02-07 00:00:00+00:00,35878.6029,67403.28299,,
2021-02-08 00:00:00+00:00,36256.20622,68315.96096,,
2021-02-09 00:00:00+00:00,36611.13122,69224.95577,,
2021-02-10 00:00:00+00:00,36938.84576,70159.12383,,
2021-02-11 00:00:00+00:00,37244.92323,71116.57536,,
2021-02-12 00:00:00+00:00,37510.86623,72077.98441,,
2021-02-13 00:00:00+00:00,37722.90773,72991.79493,,
2021-02-14 00:00:00+00:00,37884.78187,73812.81432,,
2021-02-15 00:00:00+00:00,38030.11315,74557.97689,,
2021-02-16 00:00:00+00:00,38235.23277,75283.89929,,
2021-02-17 00:00:00+00:00,38510.33747,76027.01934,,
2021-02-18 00:00:00+00:00,38793.96765,76795.02389,,
2021-02-19 00:00:00+00:00,39060.4638,77575.5247,,
2021-02-20 00:00:00+00:00,39281.99987,78321.70059,,
2021-02-21 00:00:00+00:00,39452.06842,78991.92581,,
2021-02-22 00:00:00+00:00,39615.75813,79611.20739,,
2021-02-23 00:00:00+00:00,39804.72837,80236.34502,,
2021-02-24 00:00:00+00:00,40034.36726,80889.38348,,
2021-02-25 00:00:00+00:00,40281.25333,81553.05524,,
2021-02-26 00:00:00+00:00,40527.16025,82189.01807,,
2021-02-27 00:00:00+00:00,40793.88531,82754.17598,,
2021-02-28 00:00:00+00:00,41084.77927,83232.69091,,
2021-03-01 00:00:00+00:00,41417.38621,83674.43196,,
2021-03-02 00:00:00+00:00,41815.47607,84161.19694,,
2021-03-03 00:00:00+00:00,42261.53681,84715.88493,,
2021-03-04 00:00:00+00:00,42704.90111,85292.63842,,
2021-03-05 00:00:00+00:00,43096.50833,85830.10757,,
2021-03-06 00:00:00+00:00,43423.96433,86278.6922,,
2021-03-07 00:00:00+00:00,43722.12974,86622.34273,,
2021-03-08 00:00:00+00:00,44032.05109,86903.86122,,
2021-03-09 00:00:00+00:00,44362.43849,87198.43025,,
2021-03-10 00:00:00+00:00,44716.6372,87547.20491,,
2021-03-11 00:00:00+00:00,45080.87545,87935.77281,,
2021-03-12 00:00:00+00:00,45414.83193,88314.39386,,
2021-03-13 00:00:00+00:00,45683.50922,88614.07003,,
2021-03-14 00:00:00+00:00,45876.57013,88793.80874,,
2021-03-15 00:00:00+00:00,46008.02409,88912.99347,,
2021-03-16 00:00:00+00:00,46090.31167,89078.75486,,
2021-03-17 00:00:00+00:00,46150.44101,89319.79321,,
2021-03-18 00:00:00+00:00,46221.01929,89597.07704,,
2021-03-19 00:00:00+00:00,46305.66818,89860.69014,,
2021-03-20 00:00:00+00:00,46388.87247,90044.68133,,
2021-03-21 00:00:00+00:00,46460.27147,90096.88807,,
2021-03-22 00:00:00+00:00,46542.56896,90050.1264,,
2021-03-23 00:00:00+00:00,46653.05026,89988.80154,,
2021-03-24 00:00:00+00:00,46775.68035,89950.90434,,
2021-03-25 00:00:00+00:00,46883.81887,89923.58111,,
2021-03-26 00:00:00+00:00,46952.88439,89870.46605,,
2021-03-27 00:00:00+00:00,46954.2914,89733.91616,,
2021-03-28 00:00:00+00:00,46879.82031,89487.92491,,
2021-03-29 00:00:00+00:00,46775.85573,89195.79948,,
2021-03-30 00:00:00+00:00,46691.21059,88946.19437,,
2021-03-31 00:00:00+00:00,46635.96325,88790.88515,,
2021-04-01 00:00:00+00:00,46601.49077,88745.70851,,
2021-04-02 00:00:00+00:00,46571.41392,88755.15872,,
2021-04-03 00:00:00+00:00,46511.33037,88713.59178,,
2021-04-04 00:00:00+00:00,46383.17714,88550.54932,,
2021-04-05 00:00:00+00:00,46207.9439,88335.85492,,
2021-04-06 00:00:00+00:00,46055.81815,88253.7864,,
2021-04-07 00:00:00+00:00,45958.11023,88428.54863,,
2021-04-08 00:00:00+00:00,45908.18106,88827.87526,,
2021-04-09 00:00:00+00:00,45899.77032,89337.18957,,
2021-04-10 00:00:00+00:00,45927.00209,89908.48783,,
2021-04-11 00:00:00+00:00,45984.38705,90583.13827,,
2021-04-12 00:00:00+00:00,46066.82139,91505.80104,,
2021-04-13 00:00:00+00:00,46169.58298,92821.21245,,
2021-04-14 00:00:00+00:00,46288.32509,94464.51693,,
2021-04-15 00:00:00+00:00,46391.9109,96154.10725,,
2021-04-16 00:00:00+00:00,46446.29758,97580.50258,,
2021-04-17 00:00:00+00:00,46442.26328,98600.08651,,
2021-04-18 00:00:00+00:00,46339.78563,99203.50858,,
2021-04-19 00:00:00+00:00,46127.12338,99457.16062,,
2021-04-20 00:00:00+00:00,45871.35786,99468.79258,,
2021-04-21 00:00:00+00:00,45624.90879,99297.60938,,
2021-04-22 00:00:00+00:00,45386.12281,98953.28791,,
2021-04-23 00:00:00+00:00,45139.94846,98425.60809,,
2021-04-24 00:00:00+00:00,44897.05719,97684.38219,,
2021-04-25 00:00:00+00:00,44661.70888,96720.26149,,
2021-04-26 00:00:00+00:00,44393.81107,95588.46819,,
2021-04-27 00:00:00+00:00,44073.06355,94352.99619,,
2021-04-28 00:00:00+00:00,43725.07045,93038.6988,,
2021-04-29 00:00:00+00:00,43380.7014,91662.96484,,
2021-04-30 00:00:00+00:00,43068.75039,90250.64894,,
2021-05-01 00:00:00+00:00,42780.34177,88794.93966,,
2021-05-02 00:00:00+00:00,42496.31205,87271.29767,,
2021-05-03 00:00:00+00:00,42247.524,85727.51673,,
2021-05-04 00:00:00+00:00,42059.91795,84252.35719,,
2021-05-05 00:00:00+00:00,41921.25535,82872.6989,,
2021-05-06 00:00:00+00:00,41816.17312,81547.10946,,
2021-05-07 00:00:00+00:00,41710.30991,80230.76831,,
2021-05-08 00:00:00+00:00,41561.54618,78908.93607,,
2021-05-09 00:00:00+00:00,41378.71314,77568.33219,,
2021-05-10 00:00:00+00:00,41200.5742,76260.04175,,
2021-05-11 00:00:00+00:00,41061.86089,75091.47881,,
2021-05-12 00:00:00+00:00,40970.79993,74086.34924,,
